month,year,day of month,early release,breakfast,lunch
June,2026,1,,Cereal,Orange Chicken with Brown Rice
June,2026,2,,Apple Cinnamon Muffin,Grilled Cheese Pull Apart
June,2026,3,,Cereal,Bean and Cheese Nachos
June,2026,4,,Bagel Bites with Cream Cheese,"Cheese Pizza, Pepperoni Pizza"
June,2026,5,,Cereal,Chicken tenders
