month,year,day of month,early release,breakfast,lunch
June,2026,3,,Cheerios Cereal,Grilled Cheese Pull Apart
June,2026,4,,Bagel Bites with Cream Cheese,Bean and Cheese Nachos
June,2026,5,,Vanilla Cream Filled Breadstick,Cheese Pizza
June,2026,6,,Cheerios Cereal,Chicken Tenders
