month,year,day of month,early release,meal
June,2026,1,,Orange Chicken with Brown Rice
June,2026,2,,Mozzarella Breadsticks
June,2026,3,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
June,2026,4,,Chicken and Vegetable Dumplings
June,2026,5,,Chicken tenders with Onion Rings
