month,year,day of month,early release,breakfast,lunch,snack
June,2025,2,,"Mini Pancakes","Yakisoba with Chicken","Fruit and Chex Mix"
June,2025,3,,"Chicken Sausage Biscuit Sandwich","Mozzarella Breadsticks","Fruit and Crackers"
June,2025,4,,"Chicken and Waffle Sandwich","Pancake and Chicken Sausage","Yogurt and Granola"
June,2025,5,,"Sunrise Muffin","Cheese Pizza","Cheese and Vegetables"
June,2025,9,,"French Toast Sticks","Turkey Hot Dog","Cheese and Crackers"
June,2025,10,,"Blueberry Chex Cereal","Chicken Tenders","Fruit and Chex Mix"
June,2025,11,,"Sunrise Muffin","Hamburger","Yogurt and Granola"
June,2025,12,,"Cinnamon Chex Cereal","Mozzarella Breadsticks","Fruit Cup and Cheese"
