month,year,day_of_month,early_release,breakfast,lunch
June,2025,3,,Chicken Sausage Biscuit Sandwich,Mozzarella Breadsticks
June,2025,4,,Chicken and Waffle Sandwich,Pancake and Chicken Sausage
June,2025,5,,Sunrise Muffin,Cheese Pizza
June,2025,6,,Cinnamon Chex Cereal,Chicken Fillet Sandwich
June,2025,10,,Blueberry Chex Cereal,Chicken Tenders
June,2025,11,,Sunrise Muffin,Hamburger
June,2025,12,,Cinnamon Chex Cereal,Mozzarella Breadsticks
