month,year,day of month,early release,meal
June,2025,2,,Yakisoba with Chicken or Vegetables
June,2025,3,,Mozzarella Breadsticks
June,2025,4,,Pancakes with Chicken Sausage and Berry Compote
June,2025,5,,Cheese Pizza, Pepperoni Pizza
June,2025,6,,Chicken Fillet Sandwich
June,2025,9,,Turkey Hot Dog
June,2025,10,,Chicken Tenders
June,2025,11,,Hamburger, Cheeseburger
June,2025,12,,Mozzarella Breadsticks
