month,year,day of month,early release,meal
June,2025,2,,Mini Pancakes
June,2025,3,,Chicken Sausage Biscuit Sandwich
June,2025,4,,Chicken and Waffle Sandwich
June,2025,5,,Cinnamon Crumble
June,2025,6,,Cinnamon Chex Cereal
June,2025,9,,French Toast Sticks
June,2025,10,,Blueberry Chex Cereal
June,2025,11,,Sunrise Muffin
June,2025,12,,Orange Cranberry Breakfast Bar
