month,year,day of month,early release,breakfast,lunch,snack
June,2026,1,,Apple Cinnamon Muffin,Orange Chicken with Brown Rice,Fruit and Crackers
June,2026,2,,Cheerios Cereal,Grilled Cheese Pull Apart,Fruit and Crackers
June,2026,3,,Bagel Bites with Cream Cheese,Bean and Cheese Nachos,Vegetables and Cheese
June,2026,4,,Vanilla Cream Filled Breadstick,Cheese Pizza,Yogurt and Granola
June,2026,5,,Cheerios Cereal,Chicken Tenders,Fruit and Crackers
